question_text,question_tokens,predicted_parametric_answers,answer,Unnamed: 0
kung fu panda secrets of the furious five viper,"['kung', 'fu', 'panda', 'secrets', 'of', 'the', 'furious', 'five', 'viper']",, Jessica DiCicco as Young Viper,5117
largest importer of crude oil in the world,"['largest', 'importer', 'of', 'crude', 'oil', 'in', 'the', 'world']",european union, European Union,2293
largest number of babies born in one pregnancy,"['largest', 'number', 'of', 'babies', 'born', 'in', 'one', 'pregnancy']",nonuplets, nonuplets,4359
learner as tabula rasa is a presumption in,"['learner', 'as', 'tabula', 'rasa', 'is', 'a', 'presumption', 'in']",john locke s expression of the idea in essay concerning human understanding he uses the term white paper in book ii chap i in locke s philosophy tabula rasa was the theory that at birth the human mind is a blank slate without rules for processing data, `` natural '' rights,4738
local governments that provide a single service or a closely related set of services are,"['local', 'governments', 'that', 'provide', 'a', 'single', 'service', 'or', 'a', 'closely', 'related', 'set', 'of', 'services', 'are']",special districts, Special districts,977
loss of diversity in a reduced population is called,"['loss', 'of', 'diversity', 'in', 'a', 'reduced', 'population', 'is', 'called']",population bottleneck, population bottleneck,4054
lucknow city is situated on the bank of river,"['lucknow', 'city', 'is', 'situated', 'on', 'the', 'bank', 'of', 'river']",, Gomti,4553
maddie from suite life of zack and cody full name,"['maddie', 'from', 'suite', 'life', 'of', 'zack', 'and', 'cody', 'full', 'name']",maddie fitzpatrick, Maddie Fitzpatrick,4294
malcolm in the middle what is their last name,"['malcolm', 'in', 'the', 'middle', 'what', 'is', 'their', 'last', 'name']",malcolm wilkerson, Wilkerson,1735
mamma mia run time here we go again,"['mamma', 'mia', 'run', 'time', 'here', 'we', 'go', 'again']",, 114 minutes,3011
may him soul rest in peace meaning in urdu,"['may', 'him', 'soul', 'rest', 'in', 'peace', 'meaning', 'in', 'urdu']",, Urdu : امن سے آرام ‎,2644
meaning of the song helena by my chemical romance,"['meaning', 'of', 'the', 'song', 'helena', 'by', 'my', 'chemical', 'romance']",about the band members gerard way and mikey way s late grandmother, about the band members Gerard Way and Mikey Way 's late grandmother,2590
meaning to bye bye miss american pie lyrics,"['meaning', 'to', 'bye', 'bye', 'miss', 'american', 'pie', 'lyrics']",things are heading in the wrong direction, things are heading in the wrong direction ... It ( life ) is becoming less idyllic . I do n't know whether you consider that wrong or right but it is a morality song in a sense,1195
most wins by a pitcher in major league baseball,"['most', 'wins', 'by', 'a', 'pitcher', 'in', 'major', 'league', 'baseball']",cy young, Cy Young holds the MLB win record with 511,4869
movies about bringing the dead back to life,"['movies', 'about', 'bringing', 'the', 'dead', 'back', 'to', 'life']",the lazarus effect, The Lazarus Effect,3702
name a us president that ends with son,"['name', 'a', 'us', 'president', 'that', 'ends', 'with', 'son']",richard nixon, Lyndon B. Johnson,1387
name of all four houses in harry potter,"['name', 'of', 'all', 'four', 'houses', 'in', 'harry', 'potter']",gryffindor, Gryffindor,5589
name of angel in its a wonderful life,"['name', 'of', 'angel', 'in', 'its', 'a', 'wonderful', 'life']",clarence odbody henry, Clarence Odbody,2817
name of present minister of education in nigeria,"['name', 'of', 'present', 'minister', 'of', 'education', 'in', 'nigeria']",, Adamu Adamu,2337
name of the capital city of the democratic republic of the congo,"['name', 'of', 'the', 'capital', 'city', 'of', 'the', 'democratic', 'republic', 'of', 'the', 'congo']",kinshasa, Kinshasa,5731
name of the current administrator of the alcohol and tobacco tax and trade bureau,"['name', 'of', 'the', 'current', 'administrator', 'of', 'the', 'alcohol', 'and', 'tobacco', 'tax', 'and', 'trade', 'bureau']",john j manfreda, John J. Manfreda,1415
name the highest bridge in the world built by indian army,"['name', 'the', 'highest', 'bridge', 'in', 'the', 'world', 'built', 'by', 'indian', 'army']",baily bridge, Baily Bridge,289
new imperialism in europe was dominated by what countries,"['new', 'imperialism', 'in', 'europe', 'was', 'dominated', 'by', 'what', 'countries']",france, France,4715
nominated in the best foreign film category at the oscars mother india lost to,"['nominated', 'in', 'the', 'best', 'foreign', 'film', 'category', 'at', 'the', 'oscars', 'mother', 'india', 'lost', 'to']",nargis, Nights of Cabiria,456
number of hemoglobin molecules in a red blood cell,"['number', 'of', 'hemoglobin', 'molecules', 'in', 'a', 'red', 'blood', 'cell']",approximately million, approximately 270 million,3454
number of political appointments available to the president,"['number', 'of', 'political', 'appointments', 'available', 'to', 'the', 'president']",around," around 4,000",2779
of the house is chosen from the majority party and leads the house of representatives,"['of', 'the', 'house', 'is', 'chosen', 'from', 'the', 'majority', 'party', 'and', 'leads', 'the', 'house', 'of', 'representatives']",speaker, the Speaker,2403
ok google what is the capital of belgium,"['ok', 'google', 'what', 'is', 'the', 'capital', 'of', 'belgium']",, Brussels,3954
one version of determinsm from eastern philosophy is known as what,"['one', 'version', 'of', 'determinsm', 'from', 'eastern', 'philosophy', 'is', 'known', 'as', 'what']",karma, Karma,5518
only unesco world heritage site present in bihar,"['only', 'unesco', 'world', 'heritage', 'site', 'present', 'in', 'bihar']",ajanta caves," Mahabodhi Temple Complex at Bodh Gaya , Bihar",4254
orange is the new black characters yoga lady,"['orange', 'is', 'the', 'new', 'black', 'characters', 'yoga', 'lady']",constance shulman, Yoga Jones,1427
order of harry potter movies first to last,"['order', 'of', 'harry', 'potter', 'movies', 'first', 'to', 'last']",, Harry Potter and the Philosopher 's Stone,2267
organelles released by the golgi apparatus that contains digestive enzymes,"['organelles', 'released', 'by', 'the', 'golgi', 'apparatus', 'that', 'contains', 'digestive', 'enzymes']",vesicles, vesicles,4420
organization that is owned and operated by its members,"['organization', 'that', 'is', 'owned', 'and', 'operated', 'by', 'its', 'members']",mutual, mutual,2310
organization that tracks santas flight on christmas eve,"['organization', 'that', 'tracks', 'santas', 'flight', 'on', 'christmas', 'eve']",norad, NORAD Tracks Santa,3089
our constitution makers derived the directive principles of state policy from the constitution of,"['our', 'constitution', 'makers', 'derived', 'the', 'directive', 'principles', 'of', 'state', 'policy', 'from', 'the', 'constitution', 'of']",part iv article of the constitution of india are not enforceable by any court but the principles laid down therein are considered irrefutable in the governance of the country making it the duty of the state to apply these principles in making laws to establish a just society in the country the principles have been inspired by the directive principles given in the constitution of ireland, Ireland,754
person of interest what kind of dog is bear,"['person', 'of', 'interest', 'what', 'kind', 'of', 'dog', 'is', 'bear']",malinois, Malinois,4511
persuaded congress to establish the first central bank in the united states,"['persuaded', 'congress', 'to', 'establish', 'the', 'first', 'central', 'bank', 'in', 'the', 'united', 'states']",alexander hamilton, Alexander Hamilton,3582
players to average triple double in a season,"['players', 'to', 'average', 'triple', 'double', 'in', 'a', 'season']",oscar robertson, Oscar Robertson,6059
premier league all time top goal scorers in a season,"['premier', 'league', 'all', 'time', 'top', 'goal', 'scorers', 'in', 'a', 'season']",andy cole," Andy Cole ( Newcastle United , 1993 -- 94 )",1921
president of the united states during the civil war,"['president', 'of', 'the', 'united', 'states', 'during', 'the', 'civil', 'war']",abraham lincoln, Abraham Lincoln,4836
process of restarting a computer that is already powered on,"['process', 'of', 'restarting', 'a', 'computer', 'that', 'is', 'already', 'powered', 'on']",re booting, re booting,2997
promissory notes that are freely transferable from one party to another are called,"['promissory', 'notes', 'that', 'are', 'freely', 'transferable', 'from', 'one', 'party', 'to', 'another', 'are', 'called']",negotiable instrument, negotiable instrument,4658
real name of madam in may i come in madam,"['real', 'name', 'of', 'madam', 'in', 'may', 'i', 'come', 'in', 'madam']",neha pendse, Sanjana Hiteshi,6025
record for most fouls in an nba game,"['record', 'for', 'most', 'fouls', 'in', 'an', 'nba', 'game']",," 52 by the Utah Jazz at the Phoenix Suns on April 9 , 1990",668
release date of the mummy of tom cruise,"['release', 'date', 'of', 'the', 'mummy', 'of', 'tom', 'cruise']",june," June 9 , 2017",812
relevance of western ghats as unesco world heritage site,"['relevance', 'of', 'western', 'ghats', 'as', 'unesco', 'world', 'heritage', 'site']",parallel to the western coast of the indian peninsula located entirely in india, one of the eight `` hottest hot - spots '' of biological diversity in the world,4389
roger federer how many times has he won wimbledon,"['roger', 'federer', 'how', 'many', 'times', 'has', 'he', 'won', 'wimbledon']",eight, eight,3720
role of epithelial tissue in the digestive system,"['role', 'of', 'epithelial', 'tissue', 'in', 'the', 'digestive', 'system']",absorbing helpful substances and providing a barrier against harmful substances, absorbing helpful substances and providing a barrier against harmful substances,2540
san andreas fault is what type of plate boundary,"['san', 'andreas', 'fault', 'is', 'what', 'type', 'of', 'plate', 'boundary']",continental transform fault, transform,576
shield volcanoes tend to erupt what type of lava,"['shield', 'volcanoes', 'tend', 'to', 'erupt', 'what', 'type', 'of', 'lava']",fluid lava, fluid lava,3074
shock top belgian wheat is what style of beer,"['shock', 'top', 'belgian', 'wheat', 'is', 'what', 'style', 'of', 'beer']",ale, ale,1400
skin loss that is confined to epidermal tissue is called a,"['skin', 'loss', 'that', 'is', 'confined', 'to', 'epidermal', 'tissue', 'is', 'called', 'a']",erosion, Erosion,1279
small arthropod with six legs and two wings,"['small', 'arthropod', 'with', 'six', 'legs', 'and', 'two', 'wings']",thrips, Thrips,3552
sofia the first why is she a princess,"['sofia', 'the', 'first', 'why', 'is', 'she', 'a', 'princess']",when her mother miranda marries king roland ii of enchantia," her mother , Miranda , marries King Roland II of Enchantia",5484
song about old lovers meeting in grocery store,"['song', 'about', 'old', 'lovers', 'meeting', 'in', 'grocery', 'store']",same old lang syne, Same Old Lang Syne,5192
song at the end of the jungle book,"['song', 'at', 'the', 'end', 'of', 'the', 'jungle', 'book']",siren song with indian overtones composer george bruns also included cues of my own home, `` My Own Home '',1434
song with lyrics let the bodies hit the floor,"['song', 'with', 'lyrics', 'let', 'the', 'bodies', 'hit', 'the', 'floor']",bodies, `` Bodies '',145
soulja boy kiss me thru the phone phone number,"['soulja', 'boy', 'kiss', 'me', 'thru', 'the', 'phone', 'phone', 'number']",the telephone number given in the song if dialed from the united states," 678 - 999 - 8212 , given in the song",5864
south park the stick of truth initial release date,"['south', 'park', 'the', 'stick', 'of', 'truth', 'initial', 'release', 'date']",march," March 4 , 2014",3942
spectroscopy is the study of the interaction of molecules with,"['spectroscopy', 'is', 'the', 'study', 'of', 'the', 'interaction', 'of', 'molecules', 'with']",matter and electromagnetic radiation, electromagnetic radiation,5283
speed a rocket has to be accelerated to in order to launch a satellite into orbit of the earth,"['speed', 'a', 'rocket', 'has', 'to', 'be', 'accelerated', 'to', 'in', 'order', 'to', 'launch', 'a', 'satellite', 'into', 'orbit', 'of', 'the', 'earth']",about km s, the rocket must impart to the payload a delta - v of about 9.3 -- 10 km / s,1876
spin city actress who played the evil queen,"['spin', 'city', 'actress', 'who', 'played', 'the', 'evil', 'queen']",lana maria parrilla, Lana Maria Parrilla,5537
star trek next generation episode picard falls in love,"['star', 'trek', 'next', 'generation', 'episode', 'picard', 'falls', 'in', 'love']",lessons, the 19th episode of the sixth season,1184
stars on the main sequence produce energy by fusing hydrogen into,"['stars', 'on', 'the', 'main', 'sequence', 'produce', 'energy', 'by', 'fusing', 'hydrogen', 'into']",helium, helium,3890
the ability of an atom to attract electron towards itself is called,"['the', 'ability', 'of', 'an', 'atom', 'to', 'attract', 'electron', 'towards', 'itself', 'is', 'called']",electronegativity, Electronegativity,1008
